"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LK6M5N23","journalArticle","2016","Huang, Wei-Qiang; Zhuang, Xin-Tian; Yao, Shuang; Uryasev, Stan","A financial network perspective of financial institutions’ systemic risk contributions","Physica A: Statistical Mechanics and its Applications","","0378-4371","10.1016/j.physa.2016.03.034","https://www.sciencedirect.com/science/article/pii/S0378437116300322","This study considers the effects of the financial institutions’ local topology structure in the financial network on their systemic risk contribution using data from the Chinese stock market. We first measure the systemic risk contribution with the Conditional Value-at-Risk (CoVaR) which is estimated by applying dynamic conditional correlation multivariate GARCH model (DCC-MVGARCH). Financial networks are constructed from dynamic conditional correlations (DCC) with graph filtering method of minimum spanning trees (MSTs). Then we investigate dynamics of systemic risk contributions of financial institution. Also we study dynamics of financial institution’s local topology structure in the financial network. Finally, we analyze the quantitative relationships between the local topology structure and systemic risk contribution with panel data regression analysis. We find that financial institutions with greater node strength, larger node betweenness centrality, larger node closeness centrality and larger node clustering coefficient tend to be associated with larger systemic risk contributions.","2016-08-15","2023-07-22 19:12:05","2024-01-10 20:30:15","2023-07-22 19:12:05","183-196","","","456","","Physica A: Statistical Mechanics and its Applications","","","","","","","","en","","","","","ScienceDirect","","","","; C:\Users\maroa\Zotero\storage\VWPXLAFH\Huang et al. - 2016 - A financial network perspective of financial insti.pdf; C:\Users\maroa\Zotero\storage\V69VDP6J\S0378437116300322.html","notion://www.notion.so/Huang-et-al-2016-b1ffce9ada774fa3bc190da86916bece","notion","Dynamic conditional correlation; Financial network; Minimum spanning tree; Systemic risk contribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26JMECCY","journalArticle","2017","Bardoscia, Marco; Battiston, Stefano; Caccioli, Fabio; Caldarelli, Guido","Pathways towards instability in financial networks","Nature Communications","","2041-1723","10.1038/ncomms14416","https://www.nature.com/articles/ncomms14416","Following the financial crisis of 2007–2008, a deep analogy between the origins of instability in financial systems and complex ecosystems has been pointed out: in both cases, topological features of network structures influence how easily distress can spread within the system. However, in financial network models, the details of how financial institutions interact typically play a decisive role, and a general understanding of precisely how network topology creates instability remains lacking. Here we show how processes that are widely believed to stabilize the financial system, that is, market integration and diversification, can actually drive it towards instability, as they contribute to create cyclical structures which tend to amplify financial distress, thereby undermining systemic stability and making large crises more likely. This result holds irrespective of the details of how institutions interact, showing that policy-relevant analysis of the factors affecting financial stability can be carried out while abstracting away from such details.","2017-02-21","2023-07-22 19:17:19","2024-01-10 20:34:26","2023-07-22 19:17:19","14416","","1","8","","Nat Commun","","","","","","","","en","2017 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\maroa\Zotero\storage\YH7MBARF\Bardoscia et al. - 2017 - Pathways towards instability in financial networks.pdf; ","notion://www.notion.so/Bardoscia-et-al-2017-0c7499bd485e45a48ad7846a66fafd1c","notion","Complex networks; Applied mathematics; Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXBDC74C","journalArticle","2012","Kumar, Sunil; Deo, Nivedita","Correlation and network analysis of global financial indices","Physical Review E","","1539-3755, 1550-2376","10.1103/PhysRevE.86.026101","https://link.aps.org/doi/10.1103/PhysRevE.86.026101","","2012-08-02","2023-07-22 19:29:01","2023-07-22 19:29:01","2023-07-22 19:29:01","026101","","2","86","","Phys. Rev. E","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\89RXYTZ4\Kumar and Deo - 2012 - Correlation and network analysis of global financi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQ8JCNKY","journalArticle","2015","Anand, Kartik; Craig, Ben; Von Peter, Goetz","Filling in the blanks: network structure and interbank contagion","Quantitative Finance","","1469-7688, 1469-7696","10.1080/14697688.2014.968195","http://www.tandfonline.com/doi/abs/10.1080/14697688.2014.968195","The network pattern of ﬁnancial linkages is important in many areas of banking and ﬁnance. Yet bilateral linkages are often unobserved, and maximum entropy serves as the leading method for estimating counterparty exposures. This paper proposes an efﬁcient alternative that combines information-theoretic arguments with economic incentives to produce more realistic interbank networks that preserve important characteristics of the original interbank market. The method loads the most probable links with the largest exposures consistent with the total lending and borrowing of each bank, yielding networks with minimum density. When used in a stress-testing context, the minimum-density solution overestimates contagion, whereas maximum entropy underestimates it. Using the two benchmarks side by side deﬁnes a useful range that bounds the cost of contagion in the true interbank network when counterparty exposures are unknown.","2015-04-03","2023-08-08 02:23:33","2023-08-08 02:23:34","2023-08-08 02:23:33","625-636","","4","15","","Quantitative Finance","Filling in the blanks","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\C4PAE6X5\Anand et al. - 2015 - Filling in the blanks network structure and inter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBKEBH5D","journalArticle","2018","Emmert-Streib, F.; Tripathi, S.; Yli-Harja, O.; Dehmer, M.","Understanding the World Economy in Terms of Networks: A Survey of Data-Based Network Science Approaches on Economic Networks","Frontiers in Applied Mathematics and Statistics","","2297-4687","10.3389/fams.2018.00037","","The purpose of this paper is to survey studies for estimating and analyzing different types of economic networks We focus on data-based approaches that allow the direct estimation of the networks from empirical data without the need of relying on theoretical assumptions. Due to the fact that there is a large variety of different economic networks, e.g., interbank, investment, director, ownership, financial, product or trade networks, we present a systematic categorization of these by the meaning of the “nodes” within these networks. These can correspond to banks, firms, investors, products, stocks etc. Furthermore, we review practical methods for graphically exploring such networks and discuss useful databases for obtaining the empirical data for the computational construction of economic networks. © Copyright © 2018 Emmert-Streib, Tripathi, Yli-Harja and Dehmer.","2018","2023-09-11 23:57:22","2024-01-21 21:26:48","","","","","4","","","Understanding the World Economy in Terms of Networks","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\maroa\Zotero\storage\A2NZ343R\Emmert-Streib et al. - 2018 - Understanding the World Economy in Terms of Networ.pdf; C:\Users\maroa\Zotero\storage\W69NB7T9\Emmert-Streib et al. - 2018 - Understanding the World Economy in Terms of Networ.pdf; ; C:\Users\maroa\Zotero\storage\TRZDIZ7Q\display.html","notion://www.notion.so/Emmert-Streib-et-al-2018-f91bce6706d648bdb37f8a9426feda2c","notion; Overview","computational finance; computational social science; data science; econometrics; economic networks; economics; network science; social networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABJ69WUC","journalArticle","1992","Hughes, Merritt; Nagurney, Anna","A network model and algorithm for the analysis and estimation of financial flow of funds","Computer Science in Economics and Management","","1572-9974","10.1007/BF00435280","https://doi.org/10.1007/BF00435280","This paper presents a network model of financial flow of funds accounting which can be used to calculate reconciled values of all outstanding financial instruments, tangible assets, and net worth. The model captures the accounting identities which must hold and permits the estimation of sector holdings of both assets and liabilities, as well as total outstanding instrument volumes. A decomposition algorithm is then developed which resolves the network problem into simpler subproblems proach of which can then be solved exactly and in closed form. A theoretical analysis of the algorithm is also given. Finally, the algorithm is applied to a dataset derived from the Federal Reserve Board data for 1989. The balanced dataset can then be used as a baseline for an empirical general equilibrium model.","1992-02-01","2023-09-17 14:45:26","2023-09-17 14:45:26","2023-09-17 14:45:26","23-39","","1","5","","Computer Science in Economics and Management","","","","","","","","en","","","","","Springer Link","","","","C:\Users\maroa\Zotero\storage\8Q4BPBUS\Hughes and Nagurney - 1992 - A network model and algorithm for the analysis and.pdf","","","algorithms; balance sheets; data reconciliation; Flow of funds accounting; networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VRPAX42","journalArticle","2021","Li, W.; Liu, W.; Wu, L.; Guo, X.","Risk spillover networks in financial system based on information theory","PLoS ONE","","1932-6203","10.1371/journal.pone.0252601","","Since the financial system has illustrated an increasingly prominent characteristic of inextricable connections, information theory is gradually utilized to study the financial system. By collecting the daily data of industry index (2005-2020) and region index (2012-2020) listed in China as samples, this paper applies an innovative measure named partial mutual information on mixed embedding to generate directed networks. Based on the analysis of nonlinear relationships among sectors, this paper realizes the accurate construction of “time-varying” financial network from the perspective of risk spillover. The results are presented as follow: (1) interactions can be better understood through the nonlinear networks among distinct sectors, and sectors in the networks could be classified into different types according to their topological properties connected to risk spillover; (2) in the rising stage, information is transmitted rapidly in the network, so the risk is fast diffused and absorbed; (3) in the declining stage, the network topology is more complex and panic sentiments have long term impact leading to more connections; (4) The US market, Japan market and Hongkong market have significant affect on China’s market. The results suggest that this nonlinear measure is an effective approach to develop financial networks and explore the mechanism of risk spillover. Copyright: © 2021 Li et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","2021","2023-09-17 15:06:08","2023-12-20 17:08:32","","","","6 June","16","","","","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\maroa\Zotero\storage\GZ7KU6HK\Li et al. - 2021 - Risk spillover networks in financial system based .pdf; ; C:\Users\maroa\Zotero\storage\72H325JF\display.html","notion://www.notion.so/Li-et-al-2021-ae29e82b24014a228ee74ac7529be7bd","notion","Centrality; Clustering coefficients; Distribution curves; Finance; Financial markets; Medical risk factors; Safety equipment; Stock markets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83NHP9CS","journalArticle","2021","Nagurney, Anna","Networks in economics and finance in Networks and beyond: A half century retrospective","Networks","","1097-0037","10.1002/net.21920","https://onlinelibrary.wiley.com/doi/abs/10.1002/net.21920","This paper presents a panoramic view of research on economic and financial networks in the journal Networks, since its inception half a century ago. This paper focuses on both the breadth and depth of the journal articles, and within the context of earlier contributions, as well as more recent related ones in other scientific publications. From network optimization to game theory and a plethora of equilibrium concepts, along with novel dynamical systems frameworks, the journal has led the way in advancing economic and financial network models, algorithms, and applications. Moreover, Networks has helped to attract researchers in a variety of disciplines to the science of networks and the formulation and solution of associated problems drawn from the real world.","2021","2023-09-19 17:06:03","2024-01-21 21:27:59","2023-09-19 17:06:03","50-65","","1","77","","","Networks in economics and finance in Networks and beyond","","","","","","","en","© 2019 Wiley Periodicals LLC.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/net.21920","","C:\Users\maroa\Zotero\storage\5KQQ55AT\Nagurney - 2021 - Networks in economics and finance in Networks and .pdf; ","notion://www.notion.so/Nagurney-2021-cf3a317f408c4150a88c7b5c4cd45ab6","notion; Overview","economic networks; financial equilibrium; financial networks; game theory; projected dynamical systems; spatial price equilibrium; variational inequalities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3I8JPEQP","journalArticle","2018","Smolyak, Alex; Levy, Orr; Shekhtman, Louis; Havlin, Shlomo","Interdependent networks in Economics and Finance—A Physics approach","Physica A: Statistical Mechanics and its Applications","","03784371","10.1016/j.physa.2018.08.089","https://linkinghub.elsevier.com/retrieve/pii/S0378437118310318","Over the past few decades the world underwent several major economic and financial bubbles, such as the dot-com bubble of early 2000s and the global crisis following the collapse of the US housing market in 2008. Here we review the progress made in network theory as applied to economics and highlight some important insights complex networks allow into the highly interconnected economic system. Richness of phenomena that appears once we increase our complexity beyond a single network is explored and main results, as well as future research are discussed.","2018-12","2023-09-19 17:53:14","2024-01-21 21:28:15","2023-09-19 17:53:13","612-619","","","512","","Physica A: Statistical Mechanics and its Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","; C:\Users\maroa\Zotero\storage\THPCWR5V\Smolyak et al. - 2018 - Interdependent networks in Economics and Finance—A.pdf","notion://www.notion.so/Smolyak-et-al-2018-0120171e0d3948deb9ef42e229a7762c","notion; Overview","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GA8VS7C","journalArticle","2018","Barucca, Paolo; Lillo, Fabrizio","The organization of the interbank network and how ECB unconventional measures affected the e-MID overnight market","Computational Management Science","","1619-6988","10.1007/s10287-017-0293-6","https://doi.org/10.1007/s10287-017-0293-6","The topological properties of interbank networks have been discussed widely in the literature mainly because of their relevance for systemic risk. Here we propose to use the Stochastic Block Model to investigate and perform a model selection among several possible two block organizations of the network: these include bipartite, core-periphery, and modular structures. We apply our method to the e-MID interbank market in the period 2010–2014 and we show that in normal conditions the most likely network organization is a bipartite structure. In exceptional conditions, such as after LTRO, one of the most important unconventional measures by ECB at the beginning of 2012, the most likely structure becomes a random one and only in 2014 the e-MID market went back to a normal bipartite organization. By investigating the strategy of individual banks, we explore possible explanations and we show that the disappearance of many lending banks and the strategy switch of a very small set of banks from borrower to lender is likely at the origin of this structural change.","2018-01-01","2023-09-19 18:02:26","2023-12-20 17:29:00","2023-09-19 18:02:26","33-53","","1","15","","Comput Manag Sci","","","","","","","","en","","","","","Springer Link","","","","C:\Users\maroa\Zotero\storage\EASCP3F5\Barucca and Lillo - 2018 - The organization of the interbank network and how .pdf; ","notion://www.notion.so/Barucca-Lillo-2018-0284dfa4bc48457ca780a5cb0bb9d5af","notion","Financial networks; Core-periphery; Community detection; Bipartite networks; Money markets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
